               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028495,           0.0099114,             0.03477,              0.7018,             0.68058,             0.68936,             0.51671,            0.026764,           0.0043588,            0.031936,            0.009307,            0.009307,            0.009307
                  37,            0.028617,           0.0094166,            0.034239,             0.72284,             0.63851,             0.68559,             0.44555,            0.025859,           0.0045338,            0.030661,           0.0092872,           0.0092872,           0.0092872
                  38,            0.029498,             0.00971,            0.033355,             0.77002,               0.671,             0.71757,             0.52485,            0.028034,           0.0045289,            0.030519,           0.0092674,           0.0092674,           0.0092674
                  39,             0.02845,           0.0099248,            0.034753,             0.75695,             0.70625,             0.72781,              0.5508,            0.021239,            0.004667,            0.028198,           0.0092476,           0.0092476,           0.0092476
                  40,            0.027701,           0.0095698,            0.032354,             0.73476,             0.71163,             0.72074,             0.51381,            0.023758,           0.0045391,             0.03328,           0.0092278,           0.0092278,           0.0092278
                  41,            0.028524,            0.009753,            0.035428,              0.7743,             0.63208,             0.66166,             0.45402,            0.028831,           0.0060386,            0.035857,            0.009208,            0.009208,            0.009208
                  42,            0.028158,           0.0092998,            0.033044,             0.75474,             0.60648,             0.68418,             0.45453,            0.030234,           0.0066465,            0.027169,           0.0091882,           0.0091882,           0.0091882
                  43,            0.027936,           0.0094436,            0.033073,              0.7703,             0.71869,             0.74765,             0.51173,            0.024399,           0.0053747,             0.02599,           0.0091684,           0.0091684,           0.0091684
                  44,            0.028957,           0.0094683,            0.031105,             0.81615,             0.63384,             0.71911,             0.54803,            0.018437,           0.0043263,             0.02905,           0.0091486,           0.0091486,           0.0091486
                  45,             0.02809,           0.0097332,            0.031902,             0.76268,             0.66829,             0.72904,             0.55525,            0.024856,           0.0045897,            0.033983,           0.0091288,           0.0091288,           0.0091288
                  46,            0.028463,           0.0094447,            0.032257,             0.74254,             0.65297,             0.70488,             0.49059,            0.025528,           0.0068225,            0.025021,            0.009109,            0.009109,            0.009109
                  47,            0.027757,           0.0095448,            0.031636,             0.71876,             0.73862,             0.73432,             0.52687,            0.022501,           0.0059219,             0.02931,           0.0090892,           0.0090892,           0.0090892
                  48,            0.028326,           0.0090287,            0.027733,             0.76412,             0.69212,             0.71569,             0.49149,            0.025502,           0.0052107,            0.031946,           0.0090694,           0.0090694,           0.0090694
                  49,            0.027985,           0.0092734,            0.030908,             0.76775,             0.67973,             0.69967,             0.50052,            0.026759,           0.0058592,            0.026129,           0.0090496,           0.0090496,           0.0090496
                  50,             0.02811,           0.0093147,            0.029405,             0.73631,             0.66146,              0.6837,             0.48072,              0.0245,           0.0051516,            0.026451,           0.0090298,           0.0090298,           0.0090298
                  51,            0.027697,           0.0092006,            0.029598,             0.82371,             0.70811,             0.75833,             0.55425,            0.027107,           0.0058348,            0.025848,             0.00901,             0.00901,             0.00901
                  52,            0.027548,           0.0090629,            0.027659,             0.76376,             0.72178,             0.73062,             0.56392,            0.022702,           0.0065512,             0.02427,           0.0089902,           0.0089902,           0.0089902
                  53,            0.027536,           0.0089276,            0.029766,             0.80688,             0.63419,              0.7458,             0.56798,            0.019745,           0.0050742,            0.030522,           0.0089704,           0.0089704,           0.0089704
                  54,            0.027354,           0.0092124,            0.029335,             0.76346,             0.70064,             0.74101,             0.55736,            0.021411,           0.0052224,            0.023446,           0.0089506,           0.0089506,           0.0089506
                  55,            0.027794,            0.009282,            0.028914,              0.7508,             0.67492,             0.69678,             0.53721,            0.020686,           0.0062497,            0.023355,           0.0089308,           0.0089308,           0.0089308
                  56,            0.027501,           0.0094014,            0.028428,             0.81796,             0.66597,             0.72982,             0.55878,            0.020904,           0.0048957,            0.025822,            0.008911,            0.008911,            0.008911
                  57,            0.027543,           0.0092469,            0.026623,             0.79017,             0.65488,             0.72254,             0.57725,            0.023823,           0.0052081,            0.027772,           0.0088912,           0.0088912,           0.0088912
                  58,            0.026999,           0.0092421,            0.027558,             0.78739,             0.64822,             0.73142,             0.52925,            0.022001,           0.0053327,            0.027165,           0.0088714,           0.0088714,           0.0088714
                  59,            0.027289,           0.0090841,            0.027061,             0.72897,             0.71548,             0.72836,             0.53314,            0.025443,           0.0048616,            0.030253,           0.0088516,           0.0088516,           0.0088516
                  60,            0.026369,           0.0091427,            0.029223,             0.85306,              0.7193,             0.75719,             0.58276,            0.024472,           0.0057695,            0.023364,           0.0088318,           0.0088318,           0.0088318
                  61,            0.026382,           0.0091029,            0.027507,               0.854,             0.70103,             0.76234,             0.54853,            0.025946,           0.0041016,             0.02773,            0.008812,            0.008812,            0.008812
                  62,             0.02605,           0.0088821,            0.027513,             0.76892,             0.61465,             0.70144,             0.52445,            0.028492,           0.0055018,            0.027515,           0.0087922,           0.0087922,           0.0087922
                  63,            0.026152,           0.0092691,            0.028272,             0.77748,             0.73648,              0.7347,             0.53719,            0.024192,           0.0045381,            0.026777,           0.0087724,           0.0087724,           0.0087724
                  64,            0.026386,           0.0092303,            0.026015,             0.78085,             0.66225,             0.73869,             0.54434,            0.023859,           0.0047652,            0.027643,           0.0087526,           0.0087526,           0.0087526
                  65,            0.027929,           0.0089135,            0.027594,             0.85925,              0.6859,             0.77426,             0.56905,            0.022581,           0.0045366,            0.028019,           0.0087328,           0.0087328,           0.0087328
                  66,            0.026301,           0.0093657,            0.026385,               0.781,             0.70693,             0.74433,             0.55779,            0.021652,           0.0047375,             0.02563,            0.008713,            0.008713,            0.008713
                  67,             0.02601,            0.009084,            0.024593,              0.8447,             0.69332,             0.75779,             0.56453,            0.019766,           0.0046695,            0.028278,           0.0086932,           0.0086932,           0.0086932
                  68,            0.026359,           0.0089137,            0.026433,             0.85034,                0.68,             0.74914,             0.58031,            0.024871,           0.0055031,             0.02489,           0.0086734,           0.0086734,           0.0086734
